k,accuracy,precision,recall,f1,cm
3,0.8975479485311969,0.5563002680965148,0.44719827586206895,0.4958183990442055,/Users/isas/outputs/confusion_matrix_k3.png
5,0.9019179412478757,0.5862068965517241,0.4396551724137931,0.5024630541871922,/Users/isas/outputs/confusion_matrix_k5.png
7,0.9045884923525127,0.6099071207430341,0.4245689655172414,0.5006353240152478,/Users/isas/outputs/confusion_matrix_k7.png
